Date,Predicted_Close
2023-10-25,3.7645962
2023-10-26,3.8795822
2023-10-27,3.9570203
2023-10-28,3.9763238
2023-10-29,3.98099
2023-10-30,3.9844792
2023-10-31,3.9979339
2023-11-01,4.0093555
2023-11-02,4.0355167
2023-11-03,4.090991
2023-11-04,4.1276927
2023-11-05,4.160139
2023-11-06,4.202515
2023-11-07,4.2788277
2023-11-08,4.3470893
2023-11-09,4.431903
2023-11-10,4.519748
2023-11-11,4.6092916
2023-11-12,4.7071567
2023-11-13,4.860801
2023-11-14,5.0004096
2023-11-15,5.06934
2023-11-16,5.15758
2023-11-17,5.1780877
2023-11-18,5.137682
2023-11-19,5.066868
2023-11-20,5.019072
2023-11-21,4.9601283
2023-11-22,4.8304925
2023-11-23,4.725426
2023-11-24,4.6549635
2023-11-25,4.6420655
2023-11-26,4.687992
2023-11-27,4.731635
2023-11-28,4.757016
2023-11-29,4.766662
2023-11-30,4.749007
2023-12-01,4.7108626
2023-12-02,4.6858993
2023-12-03,4.7000337
2023-12-04,4.7191315
2023-12-05,4.7624207
2023-12-06,4.822007
2023-12-07,4.87211
2023-12-08,4.9575896
2023-12-09,5.0787325
2023-12-10,5.183368
2023-12-11,5.2625957
2023-12-12,5.225157
2023-12-13,5.132442
2023-12-14,5.035634
2023-12-15,4.9787645
2023-12-16,4.941978
2023-12-17,5.0696936
2023-12-18,5.204936
2023-12-19,5.324878
2023-12-20,5.3825183
2023-12-21,5.430082
2023-12-22,5.492421
2023-12-23,5.5576386
2023-12-24,5.6289887
2023-12-25,5.6931148
2023-12-26,5.7687583
2023-12-27,5.831649
2023-12-28,5.9059305
2023-12-29,6.0270414
2023-12-30,6.0754676
2023-12-31,6.1129327
2024-01-01,6.291849
2024-01-02,6.6369925
2024-01-03,6.9392953
2024-01-04,7.008231
2024-01-05,6.970873
2024-01-06,6.8134623
2024-01-07,6.577378
2024-01-08,6.28982
2024-01-09,6.0706215
2024-01-10,5.864018
2024-01-11,5.77998
2024-01-12,5.8716497
2024-01-13,5.966745
2024-01-14,6.0596395
2024-01-15,6.09791
2024-01-16,6.116901
2024-01-17,6.1082735
2024-01-18,6.073563
2024-01-19,5.998857
2024-01-20,5.8917117
2024-01-21,5.790571
2024-01-22,5.688372
2024-01-23,5.548169
2024-01-24,5.3877044
2024-01-25,5.2627707
2024-01-26,5.1735044
2024-01-27,5.1555386
2024-01-28,5.2076836
2024-01-29,5.268085
2024-01-30,5.346571
2024-01-31,5.39075
2024-02-01,5.3747087
2024-02-02,5.328219
2024-02-03,5.2832484
2024-02-04,5.249824
2024-02-05,5.205862
2024-02-06,5.1740813
2024-02-07,5.167447
2024-02-08,5.1949186
2024-02-09,5.2439823
2024-02-10,5.3395457
2024-02-11,5.4243646
2024-02-12,5.4797897
2024-02-13,5.5335007
2024-02-14,5.581129
2024-02-15,5.633996
2024-02-16,5.7259526
2024-02-17,5.8115377
2024-02-18,5.947361
2024-02-19,6.099957
2024-02-20,6.434527
2024-02-21,6.8662834
2024-02-22,7.188259
2024-02-23,7.53642
2024-02-24,7.8216944
2024-02-25,8.033054
2024-02-26,8.164745
2024-02-27,8.23161
2024-02-28,8.157759
2024-02-29,8.030995
2024-03-01,7.974466
2024-03-02,7.9828844
2024-03-03,8.230346
2024-03-04,8.785783
2024-03-05,9.324687
2024-03-06,9.539652
2024-03-07,9.762891
2024-03-08,9.911964
2024-03-09,10.287062
2024-03-10,10.627561
2024-03-11,10.814571
2024-03-12,10.972808
2024-03-13,11.020486
2024-03-14,10.94915
2024-03-15,10.801167
2024-03-16,10.4957285
2024-03-17,9.991776
2024-03-18,9.552142
2024-03-19,9.173948
2024-03-20,8.745754
2024-03-21,8.499767
2024-03-22,8.47265
2024-03-23,8.518432
2024-03-24,8.589542
2024-03-25,8.717632
2024-03-26,8.9357195
2024-03-27,9.177433
2024-03-28,9.324282
2024-03-29,9.422019
2024-03-30,9.53841
2024-03-31,9.593714
2024-04-01,9.703963
2024-04-02,9.707055
2024-04-03,9.495096
2024-04-04,9.183858
2024-04-05,8.913592
2024-04-06,8.671151
2024-04-07,8.527812
2024-04-08,8.513153
2024-04-09,8.665181
2024-04-10,8.7598295
2024-04-11,8.780426
2024-04-12,8.673069
2024-04-13,8.253434
2024-04-14,7.590305
2024-04-15,6.9948235
2024-04-16,6.514486
2024-04-17,6.1988463
2024-04-18,5.9951224
2024-04-19,5.9209533
2024-04-20,5.96117
2024-04-21,6.14583
2024-04-22,6.349817
2024-04-23,6.545317
2024-04-24,6.6656823
2024-04-25,6.659867
2024-04-26,6.5714655
2024-04-27,6.4504676
2024-04-28,6.3166103
2024-04-29,6.1935387
2024-04-30,6.102403
2024-05-01,5.994047
2024-05-02,5.911567
2024-05-03,5.895615
2024-05-04,5.9393163
2024-05-05,6.010991
2024-05-06,6.102936
2024-05-07,6.167967
2024-05-08,6.1621995
2024-05-09,6.1051116
2024-05-10,6.0656385
2024-05-11,5.9899874
2024-05-12,5.905213
2024-05-13,5.830111
2024-05-14,5.773046
2024-05-15,5.694257
2024-05-16,5.6921563
2024-05-17,5.7267714
2024-05-18,5.8010335
2024-05-19,5.8780136
2024-05-20,5.8925123
2024-05-21,5.9731364
2024-05-22,6.0862656
2024-05-23,6.1778245
2024-05-24,6.184857
2024-05-25,6.1472855
2024-05-26,6.122624
2024-05-27,6.081964
2024-05-28,6.0841804
2024-05-29,6.0800796
2024-05-30,6.047319
2024-05-31,6.00994
2024-06-01,5.9642386
2024-06-02,5.9316053
2024-06-03,5.9150743
2024-06-04,5.9078054
2024-06-05,5.9363875
2024-06-06,6.0002165
2024-06-07,6.052982
2024-06-08,6.1174417
2024-06-09,6.166005
2024-06-10,6.2091885
2024-06-11,6.1829996
2024-06-12,6.054081
2024-06-13,5.9351187
2024-06-14,5.7951117
2024-06-15,5.6216035
2024-06-16,5.482295
2024-06-17,5.3894978
2024-06-18,5.288865
2024-06-19,5.1080046
2024-06-20,4.9282165
2024-06-21,4.7745457
2024-06-22,4.6610794
2024-06-23,4.588348
2024-06-24,4.5365486
2024-06-25,4.523649
2024-06-26,4.542406
2024-06-27,4.567883
2024-06-28,4.6097374
2024-06-29,4.6327853
2024-06-30,4.634173
2024-07-01,4.643356
2024-07-02,4.6315064
2024-07-03,4.621863
2024-07-04,4.5642605
2024-07-05,4.439172
2024-07-06,4.256725
2024-07-07,4.142308
2024-07-08,4.030759
2024-07-09,3.9701276
2024-07-10,3.963631
2024-07-11,3.9998937
2024-07-12,4.0723643
2024-07-13,4.1590886
2024-07-14,4.264986
2024-07-15,4.361516
2024-07-16,4.4652243
2024-07-17,4.5679975
2024-07-18,4.654901
2024-07-19,4.689374
2024-07-20,4.7320943
2024-07-21,4.7802825
2024-07-22,4.8332663
2024-07-23,4.8359256
2024-07-24,4.799945
2024-07-25,4.718336
2024-07-26,4.6139584
2024-07-27,4.586874
2024-07-28,4.5987763
2024-07-29,4.6104407
2024-07-30,4.6197166
2024-07-31,4.608631
2024-08-01,4.568101
2024-08-02,4.5098553
2024-08-03,4.4044275
